('Aeon', 'mac-miniplayer', 'BSD-3-Clause')
('Aeon', 'mogtest', 0)
('Aeon', 'musicbrainz-server', 'GPL-2.0')
('Aeon', 'newsyc', 'BSD-3-Clause')
('Aeon', 'ng-boilerplate', 'MIT')
('Aeon', 'node-squarespace-server', 'MIT')
('Aeon', 'osxutils', 0)
('Aeon', 'parallax.js', 'MIT')
('Aeon', 'php-bloomfilter', 0)
('Aeon', 'php-resque', 'MIT')
('Aeon', 'picard-plugins', 0)
('Aeon', 'play', 'MIT')
('Aeon', 'prawtools', 'BSD-2-Clause')
('Aeon', 'prezto', 'MIT')
('Aeon', 'rack-cas', 'MIT')
('Aeon', 'rack-cas-client', 'MIT')
('Aeon', 'react-select', 'MIT')
('Aeon', 'react_on_rails', 0)
('Aeon', 'recently-viewed', 0)
('Aeon', 'resque-logger', 'Unlicense')
('Aeon', 'roundabout', 0)
('Aeon', 'rubycas-server', 'NOASSERTION')
('Aeon', 'rubyconf_miami_hub', 'MIT')
('Aeon', 'scripts', 'GPL-2.0')
('Aeon', 'ScrollToFixed', 'MIT')
('Aeon', 'semantic-ui-sass', 'MIT')
('Aeon', 'sidebarFinagler', 'MIT')
('Aeon', 'Speeqe', 'AGPL-3.0')
('Aeon', 'spree', 0)
('Aeon', 'spree-dropdown-variants', 0)
('Aeon', 'spree_active_shipping', 0)
('Aeon', 'spree_editor', 'NOASSERTION')
('Aeon', 'spree_related_products', 0)
('Aeon', 'spree_static_content', 0)
('Aeon', 'sticky-kit', 0)
('Aeon', 'strophejs', 'MIT')
('Aeon', 'strophejs-plugins', 'MIT')
('Aeon', 'tabswitcher', 0)
('Aeon', 'trac2github', 0)
('Aeon', 'Turntable.fm-Extensions', 0)
('Aeon', 'twich', 'GPL-2.0')
('Aeon', 'ui-select2', 'MIT')
('Aeon', 'voronoi', 'MIT')
('Aeon', 'yui3-gallery', 0)
('Aeon', 'zsh-git', 0)
('Aergo', 'aergo.github.io', 'MIT')
('Aeron', 'api-docs', 0)
('Aeron', 'benchmarks', 0)
('Aeron', 'django-evolution', 'NOASSERTION')
('Aeron', 'django-mailer', 'MIT')
